date,CPI
1/1/91,133.8
2/1/91,134.6
3/1/91,134.8
4/1/91,135
5/1/91,135.2
6/1/91,135.6
7/1/91,136
8/1/91,136.2
9/1/91,136.6
10/1/91,137.2
11/1/91,137.4
12/1/91,137.8
1/1/92,137.9
2/1/92,138.1
3/1/92,138.6
4/1/92,139.3
5/1/92,139.5
6/1/92,139.7
7/1/92,140.2
8/1/92,140.5
9/1/92,140.9
10/1/92,141.3
11/1/92,141.8
12/1/92,142
1/1/93,141.9
2/1/93,142.6
3/1/93,143.1
4/1/93,143.6
5/1/93,144
6/1/93,144.2
7/1/93,144.4
8/1/93,144.4
9/1/93,144.8
10/1/93,145.1
11/1/93,145.7
12/1/93,145.8
1/1/94,145.8
2/1/94,146.2
3/1/94,146.7
4/1/94,147.2
5/1/94,147.4
6/1/94,147.5
7/1/94,148
8/1/94,148.4
9/1/94,149
10/1/94,149.4
11/1/94,149.5
12/1/94,149.7
1/1/95,149.7
2/1/95,150.3
3/1/95,150.9
4/1/95,151.4
5/1/95,151.9
6/1/95,152.2
7/1/95,152.5
8/1/95,152.5
9/1/95,152.9
10/1/95,153.2
11/1/95,153.7
12/1/95,153.6
1/1/96,153.5
2/1/96,154.4
3/1/96,154.9
4/1/96,155.7
5/1/96,156.3
6/1/96,156.6
7/1/96,156.7
8/1/96,157
9/1/96,157.3
10/1/96,157.8
11/1/96,158.3
12/1/96,158.6
1/1/97,158.6
2/1/97,159.1
3/1/97,159.6
4/1/97,160
5/1/97,160.2
6/1/97,160.1
7/1/97,160.3
8/1/97,160.5
9/1/97,160.8
10/1/97,161.2
11/1/97,161.6
12/1/97,161.5
1/1/98,161.3
2/1/98,161.6
3/1/98,161.9
4/1/98,162.2
5/1/98,162.5
6/1/98,162.8
7/1/98,163
8/1/98,163.2
9/1/98,163.4
10/1/98,163.6
11/1/98,164
12/1/98,164
1/1/99,163.9
2/1/99,164.3
3/1/99,164.5
4/1/99,165
5/1/99,166.2
6/1/99,166.2
7/1/99,166.2
8/1/99,166.7
9/1/99,167.1
10/1/99,167.9
11/1/99,168.2
12/1/99,168.3
1/1/00,168.3
2/1/00,168.8
3/1/00,169.8
4/1/00,171.2
5/1/00,171.3
6/1/00,171.5
7/1/00,172.4
8/1/00,172.8
9/1/00,172.8
10/1/00,173.7
11/1/00,174
12/1/00,174.1
1/1/01,174
2/1/01,175.1
3/1/01,175.8
4/1/01,176.2
5/1/01,176.9
6/1/01,177.7
7/1/01,178
8/1/01,177.5
9/1/01,177.5
10/1/01,178.3
11/1/01,177.7
12/1/01,177.4
1/1/02,176.7
2/1/02,177.1
3/1/02,177.8
4/1/02,178.8
5/1/02,179.8
6/1/02,179.8
7/1/02,179.9
8/1/02,180.1
9/1/02,180.7
10/1/02,181
11/1/02,181.3
12/1/02,181.3
1/1/03,180.9
2/1/03,181.7
3/1/03,183.1
4/1/03,184.2
5/1/03,183.8
6/1/03,183.5
7/1/03,183.7
8/1/03,183.9
9/1/03,184.6
10/1/03,185.2
11/1/03,185
12/1/03,184.5
1/1/04,184.3
2/1/04,185.2
3/1/04,186.2
4/1/04,187.4
5/1/04,188
6/1/04,189.1
7/1/04,189.7
8/1/04,189.4
9/1/04,189.5
10/1/04,189.9
11/1/04,190.9
12/1/04,191
1/1/05,190.3
2/1/05,190.7
3/1/05,191.8
4/1/05,193.3
5/1/05,194.6
6/1/05,194.4
7/1/05,194.5
8/1/05,195.4
9/1/05,196.4
10/1/05,198.8
11/1/05,199.2
12/1/05,197.6
1/1/06,196.8
2/1/06,198.3
3/1/06,198.7
4/1/06,199.8
5/1/06,201.5
6/1/06,202.5
7/1/06,202.9
8/1/06,203.5
9/1/06,203.9
10/1/06,202.9
11/1/06,201.8
12/1/06,201.5
1/1/07,201.8
2/1/07,202.416
3/1/07,203.499
4/1/07,205.352
5/1/07,206.686
6/1/07,207.949
7/1/07,208.352
8/1/07,208.299
9/1/07,207.917
10/1/07,208.49
11/1/07,208.936
12/1/07,210.177
1/1/08,210.036
2/1/08,211.08
3/1/08,211.693
4/1/08,213.528
5/1/08,214.823
6/1/08,216.632
7/1/08,218.815
8/1/08,219.964
9/1/08,219.086
10/1/08,218.783
11/1/08,216.573
12/1/08,212.425
1/1/09,210.228
2/1/09,211.143
3/1/09,212.193
4/1/09,212.709
5/1/09,213.24
6/1/09,213.856
7/1/09,215.693
8/1/09,215.351
9/1/09,215.834
10/1/09,215.969
11/1/09,216.177
12/1/09,216.33
1/1/10,215.949
2/1/10,216.687
3/1/10,216.741
4/1/10,217.631
5/1/10,218.009
6/1/10,218.178
7/1/10,217.965
8/1/10,218.011
9/1/10,218.312
10/1/10,218.439
11/1/10,218.711
12/1/10,218.803
1/1/11,219.179
2/1/11,220.223
3/1/11,221.309
4/1/11,223.467
5/1/11,224.906
6/1/11,225.964
7/1/11,225.722
8/1/11,225.922
9/1/11,226.545
10/1/11,226.889
11/1/11,226.421
12/1/11,226.23
1/1/12,225.672
2/1/12,226.665
3/1/12,227.663
4/1/12,229.392
5/1/12,230.085
6/1/12,229.815
7/1/12,229.478
8/1/12,229.104
9/1/12,230.379
10/1/12,231.407
11/1/12,231.317
12/1/12,230.221
1/1/13,229.601
2/1/13,230.28
3/1/13,232.166
4/1/13,232.773
5/1/13,232.531
6/1/13,232.945
7/1/13,233.504
8/1/13,233.596
9/1/13,233.877
10/1/13,234.149
11/1/13,233.546
12/1/13,233.069
1/1/14,233.049
2/1/14,233.916
3/1/14,234.781
4/1/14,236.293
5/1/14,237.072
6/1/14,237.9
7/1/14,238.343
8/1/14,238.25
9/1/14,237.852
10/1/14,238.031
11/1/14,237.433
12/1/14,236.151
1/1/15,234.812
2/1/15,233.707
3/1/15,234.722
4/1/15,236.119
5/1/15,236.599
6/1/15,237.805
7/1/15,238.638
8/1/15,238.654
9/1/15,238.316
10/1/15,237.945
11/1/15,237.838
12/1/15,237.336
1/1/16,236.525
2/1/16,236.916
3/1/16,237.111
4/1/16,238.132
5/1/16,239.261
6/1/16,240.229
7/1/16,241.018
8/1/16,240.628
9/1/16,240.849
10/1/16,241.428
11/1/16,241.729
12/1/16,241.353
1/1/17,241.432
2/1/17,242.839
3/1/17,243.603
4/1/17,243.801
5/1/17,244.524
6/1/17,244.733
7/1/17,244.955
8/1/17,244.786
9/1/17,245.519
10/1/17,246.819
11/1/17,246.663
12/1/17,246.669
1/1/18,246.524
2/1/18,247.867
3/1/18,248.991
4/1/18,249.554
5/1/18,250.546
6/1/18,251.588
7/1/18,251.989
8/1/18,252.006
9/1/18,252.146
10/1/18,252.439
11/1/18,252.885
12/1/18,252.038
1/1/19,251.233
2/1/19,251.712
3/1/19,252.776
4/1/19,254.202
5/1/19,255.548
6/1/19,256.092
7/1/19,256.143
8/1/19,256.571
9/1/19,256.558
10/1/19,256.759
11/1/19,257.346
12/1/19,257.208
1/1/20,256.974
2/1/20,257.971
3/1/20,258.678
4/1/20,258.115
5/1/20,256.389
6/1/20,256.394
7/1/20,257.797
8/1/20,259.101
9/1/20,259.918
10/1/20,260.28
11/1/20,260.388
12/1/20,260.229
1/1/21,260.474
2/1/21,261.582
3/1/21,263.014
4/1/21,264.877
5/1/21,267.054
6/1/21,269.195
7/1/21,271.696
8/1/21,273.003
9/1/21,273.567
10/1/21,274.31
11/1/21,276.589
12/1/21,277.948
1/1/22,278.802
2/1/22,281.148
3/1/22,283.716
4/1/22,287.504
5/1/22,289.109
6/1/22,292.296
7/1/22,296.311
8/1/22,296.276
9/1/22,296.171
10/1/22,296.808
11/1/22,298.012
12/1/22,297.711
1/1/23,296.797
2/1/23,299.17
3/1/23,300.84
4/1/23,301.836
5/1/23,303.363
6/1/23,304.127
7/1/23,305.109
8/1/23,305.691
9/1/23,307.026
10/1/23,307.789
11/1/23,307.671
12/1/23,307.051
1/1/24,306.746
2/1/24,308.417
3/1/24,310.326
4/1/24,312.332
5/1/24,313.548
6/1/24,314.069
7/1/24,314.175
8/1/24,314.54
9/1/24,314.796
10/1/24,315.301
11/1/24,315.664
12/1/24,315.493
1/1/25,315.605
2/1/25,317.671
3/1/25,319.082
4/1/25,319.799
5/1/25,320.795
6/1/25,321.465
7/1/25,322.561
8/1/25,323.048
9/1/25,323.976
10/1/25,324.800
