date,GPRD
1/1/91,179.96
1/2/91,167.07
1/3/91,161.91
1/4/91,179.54
1/5/91,252.91
1/6/91,92.32
1/7/91,244.94
1/8/91,364.64
1/9/91,300.28
1/10/91,292.17
1/11/91,376.15
1/12/91,355.52
1/13/91,233.96
1/14/91,351.93
1/15/91,572.30
1/16/91,477.96
1/17/91,565.65
1/18/91,552.74
1/19/91,391.99
1/20/91,270.90
1/21/91,460.97
1/22/91,503.78
1/23/91,437.26
1/24/91,407.59
1/25/91,414.07
1/26/91,427.06
1/27/91,275.46
1/28/91,338.67
1/29/91,447.91
1/30/91,489.92
1/31/91,338.40
2/1/91,319.81
2/2/91,323.61
2/3/91,306.05
2/4/91,312.30
2/5/91,388.54
2/6/91,384.49
2/7/91,248.98
2/8/91,362.51
2/9/91,292.29
2/10/91,203.85
2/11/91,355.52
2/12/91,279.66
2/13/91,264.64
2/14/91,294.45
2/15/91,235.74
2/16/91,284.27
2/17/91,223.97
2/18/91,367.28
2/19/91,273.72
2/20/91,286.21
2/21/91,290.70
2/22/91,324.60
2/23/91,427.80
2/24/91,277.76
2/25/91,510.52
2/26/91,369.17
2/27/91,435.50
2/28/91,242.75
3/1/91,194.16
3/2/91,210.32
3/3/91,181.89
3/4/91,225.07
3/5/91,199.85
3/6/91,194.86
3/7/91,198.91
3/8/91,113.65
3/9/91,163.74
3/10/91,158.26
3/11/91,192.20
3/12/91,197.61
3/13/91,121.96
3/14/91,80.51
3/15/91,111.94
3/16/91,166.52
3/17/91,155.76
3/18/91,212.67
3/19/91,168.79
3/20/91,133.61
3/21/91,95.17
3/22/91,125.07
3/23/91,145.96
3/24/91,85.21
3/25/91,124.44
3/26/91,105.56
3/27/91,127.93
3/28/91,103.40
3/29/91,79.40
3/30/91,100.38
3/31/91,69.33
4/1/91,78.30
4/2/91,157.98
4/3/91,151.22
4/4/91,97.20
4/5/91,108.99
4/6/91,130.84
4/7/91,82.73
4/8/91,101.10
4/9/91,98.15
4/10/91,85.38
4/11/91,88.61
4/12/91,107.79
4/13/91,61.59
4/14/91,58.63
4/15/91,134.71
4/16/91,87.87
4/17/91,125.79
4/18/91,83.82
4/19/91,100.12
4/20/91,133.14
4/21/91,66.96
4/22/91,70.78
4/23/91,64.78
4/24/91,123.75
4/25/91,48.24
4/26/91,100.95
4/27/91,87.33
4/28/91,57.52
4/29/91,99.33
4/30/91,97.04
5/1/91,120.08
5/2/91,42.33
5/3/91,70.01
5/4/91,61.34
5/5/91,64.55
5/6/91,201.26
5/7/91,123.67
5/8/91,122.84
5/9/91,71.49
5/10/91,109.81
5/11/91,88.54
5/12/91,56.87
5/13/91,105.66
5/14/91,101.18
5/15/91,94.41
5/16/91,75.99
5/17/91,63.10
5/18/91,93.60
5/19/91,53.54
5/20/91,132.30
5/21/91,70.67
5/22/91,102.06
5/23/91,108.83
5/24/91,65.67
5/25/91,74.56
5/26/91,89.53
5/27/91,109.35
5/28/91,107.02
5/29/91,56.29
5/30/91,66.39
5/31/91,118.82
6/1/91,104.29
6/2/91,68.09
6/3/91,41.02
6/4/91,118.00
6/5/91,108.06
6/6/91,61.41
